"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Gianluca Lax,Mediterranea University of Reggio Calabria,it,Antonia Russo,Mediterranea University of Reggio Calabria,it,2021,tcss
George Karabatis,University of Maryland - College Park,us,Zainab Al Latifah,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Ahmed AlEroud,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Iyad Alazzam,Yarmouk University,jo,2020,tcss
Sibel Adali,Rensselaer Polytechnic Institute,us,John O'Donovan,University of California - Santa Barbara,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,Jin-Hee Cho,Virginia Polytechnic Institute and State University,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,Benjamin D. Horne,Rensselaer Polytechnic Institute,us,2019,tsc
Antônio Carlos da Rocha Costa,Federal University of Rio Grande,br,Helder Coelho,University of Lisbon,pt,2019,tcss
Munindar P. Singh,North Carolina State University,us,Arwen H. DeCostanza,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Anup K. Kalia,IBM,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Norbou Buchler,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Chaitanya Shivade,Amazon Inc.,us,2021,tcss
Munindar P. Singh,North Carolina State University,us,Karthik Sheshadri,North Carolina State University,us,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Mohsen Guizani,Qatar University,qa,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Weihong Han,Guangzhou University,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zizhong Huang,National University of Defense Technology,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zhihong Tian,Guangzhou University,cn,2021,tcss
Haifeng Shen,Flinders University,au,Yuqing Mao,Nanjing University,cn,2016,tcss
Srinath Srinivasa,International Institute of Information Technology,in,Raksha Pavagada Subbanarasimha,International Institute of Information Technology,in,2020,tcss
Srinath Srinivasa,International Institute of Information Technology,in,Sridhar Mandyam,International Institute of Information Technology,in,2020,tcss
Vasant G. Honavar,Pennsylvania State University,us,John Yen,Pennsylvania State University,us,2016,tcss
Vasant G. Honavar,Pennsylvania State University,us,Ngot Bui,Pennsylvania State University,us,2016,tcss
Fabio Casati,University of Trento,ru,Jorge Saldivar,Catholic University,py,2019,tsc
Fabio Casati,University of Trento,ru,Florian Daniel,Politecnico di Milano,it,2019,tsc
Fabio Casati,University of Trento,ru,Luca Cernuzzi,Catholic University,py,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Alessandro Checco,University of Sheffield,uk,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Gianluca Demartini,University of Queensland,us,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Djellel Eddine Difallah,York University,ca,2019,tsc
Paola Velardi,Sapienza University of Rome,it,Giovanni Stilo,University of L'Aquila,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Mauro Gatti,Sapienza University of Rome,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Ajay Mehra,University of Kent,us,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Giorgia Di Tommaso,Sapienza University of Rome,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Michela Iannotta,Sapienza University of Rome,it,2020,socnet
Mounir Frikha,University of Carthage,tn,Hakim Ghazzai,Stevens Institute of Technology,us,2020,tcss
Mounir Frikha,University of Carthage,tn,Yehia Massoud,Stevens Institute of Technology,us,2020,tcss
Mounir Frikha,University of Carthage,tn,Aymen Hamrouni,University of Carthage,tn,2020,tcss
Barbara Guidi,University of Pisa,it,Andrea De Salve,University of Palermo,it,2019,tcss
Barbara Guidi,University of Pisa,it,Laura Ricci,University of Pisa,it,2019,tcss
Barbara Guidi,University of Pisa,it,Andrea Michienzi,University of Pisa,it,2021,tcss
Barbara Guidi,University of Pisa,it,Laura Ricci,University of Pisa,it,2021,tcss
Laura Ricci,University of Pisa,it,Andrea De Salve,University of Palermo,it,2019,tcss
Laura Ricci,University of Pisa,it,Barbara Guidi,University of Pisa,it,2019,tcss
Laura Ricci,University of Pisa,it,Andrea Michienzi,University of Pisa,it,2021,tcss
Laura Ricci,University of Pisa,it,Barbara Guidi,University of Pisa,it,2021,tcss
Vittorio Fuccella,University of Salerno,us,Susanna Zaccarin,University of Trieste,it,2013,socnet
Vittorio Fuccella,University of Salerno,us,Domenico De Stefano,Ca' Foscari University of Venice,it,2013,socnet
Vittorio Fuccella,University of Salerno,us,Maria Prosperina Vitale,University of Salerno,us,2013,socnet
Vijay Mago,Lakehead University,ca,Gaurav Sharma 0009,Lakehead University,ca,2020,tcss
Vijay Mago,Lakehead University,ca,Gautam Srivastava,Brandon University,ca,2020,tcss
Vijay Mago,Lakehead University,ca,Chetan Harichandra Mendhe,Lakehead University,ca,2021,tcss
Vijay Mago,Lakehead University,ca,Gautam Srivastava,Brandon University,ca,2021,tcss
Vijay Mago,Lakehead University,ca,Nathan Henderson,Brandon University,ca,2021,tcss
Andrea De Salve,University of Palermo,it,Barbara Guidi,University of Pisa,it,2019,tcss
Andrea De Salve,University of Palermo,it,Laura Ricci,University of Pisa,it,2019,tcss
Andrea Michienzi,University of Pisa,it,Barbara Guidi,University of Pisa,it,2021,tcss
Andrea Michienzi,University of Pisa,it,Laura Ricci,University of Pisa,it,2021,tcss
James Miller 0001,University of Alberta,us,Torin Stepan,University of Alberta,us,2016,tcss
James Miller 0001,University of Alberta,us,Scott Dick,University of Alberta,us,2016,tcss
James Miller 0001,University of Alberta,us,Jason M. Morawski,University of Alberta,us,2016,tcss
Matthieu Latapy,CNRS,fr,Nathalie Del Vecchio,University Paris 2,fr,2008,socnet
Matthieu Latapy,CNRS,fr,Clémence Magnien,CNRS,fr,2008,socnet
Clémence Magnien,CNRS,fr,Nathalie Del Vecchio,University Paris 2,fr,2008,socnet
Clémence Magnien,CNRS,fr,Matthieu Latapy,CNRS,fr,2008,socnet
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais,br,José Antônio G. Pinho,Federal University of Bahia,br,2020,tsc
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais,br,Lucas Santos de Oliveira,Federal University of Minas Gerais,br,2020,tsc
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais,br,Marcelo S. Amaral,State University of Southwestern of Bahia,us,2020,tsc
Paulo Jorge Leitão Adeodato,UFPE,br,Rogério Luiz Cardoso Silva Filho,UFPE,br,2021,tcss
Paulo Jorge Leitão Adeodato,UFPE,br,Kellyton dos Santos Brito,UFRPE,br,2021,tcss
Fenlin Liu,PLA Strategic Support Force Information Engineering University,cn,Jiadong Guo,PLA Strategic Support Force Information Engineering University,cn,2021,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Hao Wang 0003,Norwegian University of Science and Technology,no,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Wei Wang 0012,KAUST,sa,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Guangquan Xu,Tianjin University,cn,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Hong-Ning Dai,Macau University of Science and Technology,cn,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Yulei Wu,University of Exeter,uk,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Lichen Cheng,Beijing Jiaotong University,cn,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Jiqiang Liu,Beijing Jiaotong University,cn,2019,tcss
Yang Xiang 0001,Deakin University,au,Majed A. AlRubaian,King Saud University,sa,2015,tcss
Yang Xiang 0001,Deakin University,au,Jun Zhang 0010,Deakin University,au,2015,tcss
Yang Xiang 0001,Deakin University,au,Yi Xie 0002,Sun Yat-sen University,cn,2015,tcss
Yang Xiang 0001,Deakin University,au,Wanlei Zhou,University of Technology Sydney,au,2015,tcss
Yang Xiang 0001,Deakin University,au,Mohammad Mehedi Hassan,King Saud University,sa,2015,tcss
Yang Xiang 0001,Deakin University,au,Abdulhameed Alelaiwi,King Saud University,sa,2015,tcss
Yang Xiang 0001,Deakin University,au,Chao Chen 0015,Deakin University,au,2015,tcss
Wanlei Zhou,University of Technology Sydney,au,Shui Yu,University of Technology Sydney,au,2018,tcss
Wanlei Zhou,University of Technology Sydney,au,Sancheng Peng,Guangdong University of Foreign Studies,cn,2018,tcss
Wanlei Zhou,University of Technology Sydney,au,Youyang Qu,Deakin University,au,2018,tcss
Wanlei Zhou,University of Technology Sydney,au,Longxiang Gao,Deakin University,au,2018,tcss
Wanlei Zhou,University of Technology Sydney,au,Majed A. AlRubaian,King Saud University,sa,2015,tcss
Wanlei Zhou,University of Technology Sydney,au,Jun Zhang 0010,Deakin University,au,2015,tcss
Wanlei Zhou,University of Technology Sydney,au,Chao Chen 0015,Deakin University,au,2015,tcss
Wanlei Zhou,University of Technology Sydney,au,Yi Xie 0002,Sun Yat-sen University,cn,2015,tcss
Wanlei Zhou,University of Technology Sydney,au,Mohammad Mehedi Hassan,King Saud University,sa,2015,tcss
Wanlei Zhou,University of Technology Sydney,au,Abdulhameed Alelaiwi,King Saud University,sa,2015,tcss
Wanlei Zhou,University of Technology Sydney,au,Yang Xiang 0001,Deakin University,au,2015,tcss
Shui Yu,University of Technology Sydney,au,Jingwen Zhang,University of Technology Sydney,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Mohammad Reza Nosouhi,University of Technology Sydney,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Keshav Sood,Deakin University,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Marthie Grobler,CSIRO,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Wanlei Zhou,University of Technology Sydney,au,2018,tcss
Shui Yu,University of Technology Sydney,au,Sancheng Peng,Guangdong University of Foreign Studies,cn,2018,tcss
Shui Yu,University of Technology Sydney,au,Youyang Qu,Deakin University,au,2018,tcss
Shui Yu,University of Technology Sydney,au,Longxiang Gao,Deakin University,au,2018,tcss
Shui Yu,University of Technology Sydney,au,Min Zhan,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Haiming Liang,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Gang Kou,Southwestern University of Finance and Economics,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Quanbo Zha,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Yucheng Dong,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Hongwei Li 0001,Chinese Academy of Sciences,cn,2015,tcss
Shui Yu,University of Technology Sydney,au,Yuan Zhang 0006,UESTC,cn,2015,tcss
Shui Yu,University of Technology Sydney,au,Chunxiang Xu,UESTC,cn,2015,tcss
Shui Yu,University of Technology Sydney,au,Qingpeng Zhang,City University of Hong Kong,hk,2021,tcss
Shui Yu,University of Technology Sydney,au,James J. Q. Yu,Southern University of Science and Technology,cn,2021,tcss
Shui Yu,University of Technology Sydney,au,Dan Tao,Beijing Jiaotong University,cn,2021,tcss
Shui Yu,University of Technology Sydney,au,Chenwang Zheng,Beijing Jiaotong University,cn,2021,tcss
Shui Yu,University of Technology Sydney,au,Wenjie Ruan,University of Exeter,uk,2021,tcss
Shui Yu,University of Technology Sydney,au,Chenhan Zhang,University of Technology Sydney,au,2021,tcss
Shui Yu,University of Technology Sydney,au,Xiaozhuang Song,Southern University of Science and Technology,cn,2021,tcss
Xuan Han,Qingdao Academy of Intelligent Industries,cn,Yong Yuan,Renmin University of China,cn,2019,tcss
Xuan Han,Qingdao Academy of Intelligent Industries,cn,Fei-Yue Wang 0001,Chinese Academy of Sciences,cn,2019,tcss
Shuiqiao Yang,University of Technology Sydney,au,Hamad Zogan,University of Technology Sydney,au,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Shoaib Jameel,University of Essex,uk,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Jianlong Zhou,University of Technology Sydney,au,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Guandong Xu,University of Technology Sydney,au,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Fang Chen 0001,University of Technology Sydney,au,2021,tcss
Huiling Zhang,University of Florida,us,Md Abdul Alim,University of Florida,us,2018,tcss
Huiling Zhang,University of Florida,us,My T. Thai,University of Florida,us,2018,tcss
Huiling Zhang,University of Florida,us,Alan Kuhnle,University of Florida,us,2018,tcss
Huiling Zhang,University of Florida,us,Xiang Li 0016,Santa Clara University,us,2018,tcss
Wenyi Tang,UESTC,cn,Guangchun Luo,UESTC,cn,2019,tcss
Wenyi Tang,UESTC,cn,Zhipeng Cai 0001,Georgia State University,us,2019,tcss
Wenyi Tang,UESTC,cn,Ling Tian,UESTC,cn,2019,tcss
Wenyi Tang,UESTC,cn,Yubao Wu,Georgia State University,us,2019,tcss
Weijia Jia 0001,University of Macau,cn,Jiafu Jiang,Changsha University of Science and Technology,cn,2020,tcss
Weijia Jia 0001,University of Macau,cn,Linyu Tang,Changsha University of Science and Technology,cn,2020,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Hao Wang 0003,Norwegian University of Science and Technology,no,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Wei Wang 0012,KAUST,sa,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Guangquan Xu,Tianjin University,cn,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Hong-Ning Dai,Macau University of Science and Technology,cn,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Yulei Wu,University of Exeter,uk,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Lichen Cheng,Beijing Jiaotong University,cn,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Zonghua Zhang,Institut Mines-Tlcom,fr,2019,tcss
Jianfeng Ma 0001,Xidian University,cn,Zhongyuan Jiang,Xidian University,cn,2021,tcss
Jianfeng Ma 0001,Xidian University,cn,Philip S. Yu,University of Illinois at Chicago,us,2021,tcss
Jianfeng Ma 0001,Xidian University,cn,Hui Li 0005,Xidian University,cn,2021,tcss
Jianfeng Ma 0001,Xidian University,cn,Xianyu Chen,Xidian University,cn,2021,tcss
Xinglin Zhang,South China University of Technology,cn,Le Jiang,South China University of Technology,cn,2019,tcss
Elisa Bertino,Purdue University,us,Xianqi Yu,Shandong University,cn,2018,tsc
Elisa Bertino,Purdue University,us,Yuqing Sun,Shandong University,cn,2018,tsc
Yuval Elovici,Ben-Gurion University of the Negev,il,Rami Puzis,University of Maryland - College Park,us,2017,tcss
Yuval Elovici,Ben-Gurion University of the Negev,il,Abigail Paradise,Ben-Gurion University of the Negev,il,2017,tcss
Yuval Elovici,Ben-Gurion University of the Negev,il,Asaf Shabtai,Ben-Gurion University of the Negev,il,2017,tcss
Yuval Elovici,Ben-Gurion University of the Negev,il,Aviad Elyashar,Ben-Gurion University of the Negev,il,2017,tcss
Asaf Shabtai,Ben-Gurion University of the Negev,il,Rami Puzis,University of Maryland - College Park,us,2017,tcss
Asaf Shabtai,Ben-Gurion University of the Negev,il,Yuval Elovici,Ben-Gurion University of the Negev,il,2017,tcss
Asaf Shabtai,Ben-Gurion University of the Negev,il,Abigail Paradise,Ben-Gurion University of the Negev,il,2017,tcss
Asaf Shabtai,Ben-Gurion University of the Negev,il,Aviad Elyashar,Ben-Gurion University of the Negev,il,2017,tcss
Xiaojiang Du,Temple University,us,Yuhan Chai,Guangzhou University,cn,2020,tcss
Xiaojiang Du,Temple University,us,Mohsen Guizani,Qatar University,qa,2020,tcss
Xiaojiang Du,Temple University,us,Zhihong Tian,Guangzhou University,cn,2020,tcss
Xiaojiang Du,Temple University,us,Jing Qiu 0002,Guangzhou University,cn,2020,tcss
Joongyum Kim,KAIST,kr,Juho Kim,KAIST,kr,2020,tsc
Joongyum Kim,KAIST,kr,Taesik Gong,KAIST,kr,2020,tsc
Joongyum Kim,KAIST,kr,Woojeong Kim,Ajou University,kr,2020,tsc
Joongyum Kim,KAIST,kr,Sung-Ju Lee,KAIST,kr,2020,tsc
Joongyum Kim,KAIST,kr,JeongGil Ko,Yonsei University,kr,2020,tsc
Joongyum Kim,KAIST,kr,Bogoan Kim,Ajou University,kr,2020,tsc
Joongyum Kim,KAIST,kr,Jaeyeon Park,Yonsei university,kr,2020,tsc
Joongyum Kim,KAIST,kr,Kyungsik Han,Ajou University,kr,2020,tsc
Joongyum Kim,KAIST,kr,Evey Huang,Northwestern University,us,2020,tsc
Bogdan Carbunar,Florida International University,us,Sajedul Rahim Talukder,Edinboro University,us,2020,tsc
Bogdan Carbunar,Florida International University,us,Mizanur Rahman,Florida International University,us,2017,tcss
Bogdan Carbunar,Florida International University,us,Rahul Potharaju,Microsoft,us,2017,tcss
Krishna P. Gummadi,Max Planck Institute,de,Abhijnan Chakraborty,Max Planck Institute,de,2019,tcss
Krishna P. Gummadi,Max Planck Institute,de,Saptarshi Ghosh 0001,IIT Kharagpur,in,2019,tcss
Krishna P. Gummadi,Max Planck Institute,de,Niloy Ganguly,IIT Kharagpur,in,2019,tcss
Xiaohui Liang,University of Massachusetts,us,Xuemin Shen,University of Waterloo,us,2015,tcss
Xiaohui Liang,University of Massachusetts,us,Kuan Zhang,University of Waterloo,us,2015,tcss
Xiaohui Liang,University of Massachusetts,us,Rongxing Lu,Nanyang Technological University,sg,2015,tcss
Gang Wang 0011,Virginia Tech,us,Steve T. K. Jan,Virginia Tech,us,2018,tsc
David J. Yates,Bentley University,us,David M. Murungi,Bentley University,us,2021,tsc
David J. Yates,Bentley University,us,Sandeep Purao,Bentley University,us,2021,tsc
Shasha Li,Zhejiang University,cn,Weili Wu,University of Texas at Dallas,us,2016,tcss
Shasha Li,Zhejiang University,cn,Guangmo Amo Tong,University of Texas at Dallas,us,2016,tcss
Shasha Li,Zhejiang University,cn,Ding-Zhu Du,University of Texas at Dallas,us,2016,tcss
Sung-Ju Lee,KAIST,kr,Juho Kim,KAIST,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,Taesik Gong,KAIST,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,Woojeong Kim,Ajou University,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,JeongGil Ko,Yonsei University,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,Joongyum Kim,KAIST,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,Bogoan Kim,Ajou University,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,Jaeyeon Park,Yonsei university,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,Kyungsik Han,Ajou University,kr,2020,tsc
Sung-Ju Lee,KAIST,kr,Evey Huang,Northwestern University,us,2020,tsc
Károly Takács,Linköping University,se,Andreas Flache,University of Groningen,nl,2008,socnet
Károly Takács,Linköping University,se,Béla Janky,Budapest University of Technology and Economics,hu,2008,socnet
Károly Takács,Linköping University,se,Júlia Koltai,Eötvös Loránd University,hu,2019,socnet
Károly Takács,Linköping University,se,László Lorincz,Corvinus University of Budapest,hu,2019,socnet
Károly Takács,Linköping University,se,Anna Fruzsina Gyor,Corvinus University of Budapest,hu,2019,socnet
Károly Takács,Linköping University,se,Christoph Stadtfeld,ETH Zurich,us,2020,socnet
Károly Takács,Linköping University,se,András Vörös 0002,ETH Zurich,us,2020,socnet
Flaminio Squazzoni,University of Brescia,it,Riccardo Boero,University of Torino,it,2012,socnet
Flaminio Squazzoni,University of Brescia,it,Giangiacomo Bravo,Linnaeus University,se,2012,socnet
Flaminio Squazzoni,University of Brescia,it,Niccolò Casnici,University of Brescia,it,2018,socnet
Giangiacomo Bravo,Linnaeus University,se,Flaminio Squazzoni,University of Brescia,it,2012,socnet
Giangiacomo Bravo,Linnaeus University,se,Riccardo Boero,University of Torino,it,2012,socnet
Hao Wang 0003,Norwegian University of Science and Technology,no,Wei Wang 0012,KAUST,sa,2019,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Guangquan Xu,Tianjin University,cn,2019,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Hong-Ning Dai,Macau University of Science and Technology,cn,2019,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Yulei Wu,University of Exeter,uk,2019,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Lichen Cheng,Beijing Jiaotong University,cn,2019,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Jiqiang Liu,Beijing Jiaotong University,cn,2019,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Zonghua Zhang,Institut Mines-Tlcom,fr,2019,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Xiangyu Wei,Beijing Jiaotong University,cn,2020,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Yongzhong He,Beijing Jiaotong University,cn,2020,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Guangquan Xu,Tianjin University,cn,2020,tcss
Hao Wang 0003,Norwegian University of Science and Technology,no,Wei Wang 0012,KAUST,sa,2020,tcss
Gabriel A. Wainer,Carleton University,us,Hoda Khalil,Carleton University,us,2020,tcss
Florian Daniel,Politecnico di Milano,it,Fabio Casati,University of Trento,ru,2019,tsc
Florian Daniel,Politecnico di Milano,it,Jorge Saldivar,Catholic University,py,2019,tsc
Florian Daniel,Politecnico di Milano,it,Luca Cernuzzi,Catholic University,py,2019,tsc
Mohammad Mehedi Hassan,King Saud University,sa,Majed A. AlRubaian,King Saud University,sa,2015,tcss
Mohammad Mehedi Hassan,King Saud University,sa,Jun Zhang 0010,Deakin University,au,2015,tcss
Mohammad Mehedi Hassan,King Saud University,sa,Chao Chen 0015,Deakin University,au,2015,tcss
Mohammad Mehedi Hassan,King Saud University,sa,Yi Xie 0002,Sun Yat-sen University,cn,2015,tcss
Mohammad Mehedi Hassan,King Saud University,sa,Wanlei Zhou,University of Technology Sydney,au,2015,tcss
Mohammad Mehedi Hassan,King Saud University,sa,Abdulhameed Alelaiwi,King Saud University,sa,2015,tcss
Mohammad Mehedi Hassan,King Saud University,sa,Yang Xiang 0001,Deakin University,au,2015,tcss
Dinesh Kumar Saini,Sohar University,om,Arshad Muhammad 0001,Sohar University,om,2018,tcss
Dinesh Kumar Saini,Sohar University,om,Alois Ferscha,Johannes Kepler University,at,2018,tcss
Dinesh Kumar Saini,Sohar University,om,Kashif Zia,Sohar University,om,2018,tcss
Ken Barker 0001,University of Calgary,us,Tom Arjannikov,University of Victoria,ca,2020,tcss
Ken Barker 0001,University of Calgary,us,Khobaib Zaamout,University of Calgary,us,2020,tcss
Ken Barker 0001,University of Calgary,us,Khobaib Zaamout,University of Calgary,us,2018,tcss
Jose Emmanuel Ramirez-Marquez,Stevens Institute of Technology,us,Carlo Lipizzi,Stevens Institute of Technology,us,2021,tcss
Jose Emmanuel Ramirez-Marquez,Stevens Institute of Technology,us,Dario Borrelli,Stevens Institute of Technology,us,2021,tcss
Jose Emmanuel Ramirez-Marquez,Stevens Institute of Technology,us,Pouria Babvey,Stevens Institute of Technology,us,2021,tcss
Haohan Wang,Carnegie Mellon University,us,Ming Xu 0008,Tsinghua University,cn,2018,tcss
Haohan Wang,Carnegie Mellon University,us,Yunpeng Xiao,Chongqing University,cn,2018,tcss
Haohan Wang,Carnegie Mellon University,us,Yanbing Liu,Chongqing University,cn,2018,tcss
Haohan Wang,Carnegie Mellon University,us,Xixi Li,Chongqing University,cn,2018,tcss
Mohammad Taghi Hajiaghayi,University of Maryland - College Park,us,Edoardo Serra,Boise State University,us,2020,tcss
Mohammad Taghi Hajiaghayi,University of Maryland - College Park,us,Anshul Sawant,Google,us,2020,tcss
Mohammad Taghi Hajiaghayi,University of Maryland - College Park,us,Yanhai Xiong,Dartmouth College,us,2020,tcss
Mohammad Taghi Hajiaghayi,University of Maryland - College Park,us,Sarit Kraus,Bar-Ilan University,il,2020,tcss
Mohammad Taghi Hajiaghayi,University of Maryland - College Park,us,V. S. Subrahmanian,University of Maryland - College Park,us,2020,tcss
Mohammad Taghi Hajiaghayi,University of Maryland - College Park,us,Haipeng Chen 0001,Dartmouth College,us,2020,tcss
Manish Purohit,University of Maryland - College Park,us,Rami Puzis,University of Maryland - College Park,us,2013,socnet
Manish Purohit,University of Maryland - College Park,us,V. S. Subrahmanian,University of Maryland - College Park,us,2013,socnet
Erik Jan van Leeuwen,Max Planck Institute,de,Daniël Paulusma,Durham University,uk,2015,socnet
Erik Jan van Leeuwen,Max Planck Institute,de,Matthew Johnson 0002,Durham University,uk,2015,socnet
Irina Shklovski,IT University Copenhagen,dk,Luca Rossi 0003,IT University Copenhagen,dk,2019,tsc
Irina Shklovski,IT University Copenhagen,dk,Andreas Kotsios,Uppsala University,se,2019,tsc
Irina Shklovski,IT University Copenhagen,dk,Davide Vega,Uppsala University,se,2019,tsc
Irina Shklovski,IT University Copenhagen,dk,Matteo Magnani,Uppsala University,se,2019,tsc
Giulio Jacucci,University of Helsinki,fi,Niklas Ravaja,University of Helsinki,fi,2021,tsc
Giulio Jacucci,University of Helsinki,fi,Mikko Salminen,Tampere University,fi,2021,tsc
Giulio Jacucci,University of Helsinki,fi,Juho Hamari,Tampere University,fi,2021,tsc
Giulio Jacucci,University of Helsinki,fi,Benjamin Cowley 0001,University of Helsinki,fi,2021,tsc
Giulio Jacucci,University of Helsinki,fi,Simo Järvelä,Aalto University,fi,2021,tsc
Austin L. Toombs,Purdue University,us,Robin S. Adams,Purdue University,us,2018,tsc
Austin L. Toombs,Purdue University,us,Yubo Kou,Florida State University,us,2018,tsc
Austin L. Toombs,Purdue University,us,Colin M. Gray,Purdue University,us,2018,tsc
Wendy Moncur,University of Dundee,uk,Helen S. Jones,University of Central Lancashire,uk,2020,tsc
Colin M. Gray,Purdue University,us,Robin S. Adams,Purdue University,us,2018,tsc
Colin M. Gray,Purdue University,us,Austin L. Toombs,Purdue University,us,2018,tsc
Colin M. Gray,Purdue University,us,Yubo Kou,Florida State University,us,2018,tsc
Moojan Ghafurian,University of Waterloo,us,Jeremy R. Cole,Google,us,2019,tcss
Moojan Ghafurian,University of Waterloo,us,David Reitter,Google,us,2019,tcss
David Reitter,Google,us,Moojan Ghafurian,University of Waterloo,us,2019,tcss
David Reitter,Google,us,Jeremy R. Cole,Google,us,2019,tcss
Alistair G. Sutcliffe,University of Manchester,uk,Jens F. Binder,Nottingham Trent University,uk,2012,socnet
Alistair G. Sutcliffe,University of Manchester,uk,Sam G. B. Roberts,University of Chester,uk,2012,socnet
Mark Rouncefield,Lancaster University,uk,Rob Procter,University of Warwick,uk,2018,tsc
Mark Rouncefield,Lancaster University,uk,Arkaitz Zubiaga,University of Warwick,uk,2018,tsc
Mark Rouncefield,Lancaster University,uk,Peter Tolmie,University of Siegen,de,2018,tsc
Mark Rouncefield,Lancaster University,uk,Maria Liakata,University of Warwick,uk,2018,tsc
Eytan Adar,HP Labs,us,Lada A. Adamic,HP Labs,us,2005,socnet
Eytan Adar,HP Labs,us,Lada A. Adamic,HP Labs,us,2003,socnet
Yubo Kou,Florida State University,us,Robin S. Adams,Purdue University,us,2018,tsc
Yubo Kou,Florida State University,us,Austin L. Toombs,Purdue University,us,2018,tsc
Yubo Kou,Florida State University,us,Colin M. Gray,Purdue University,us,2018,tsc
Juho Kim,KAIST,kr,Taesik Gong,KAIST,kr,2020,tsc
Juho Kim,KAIST,kr,Woojeong Kim,Ajou University,kr,2020,tsc
Juho Kim,KAIST,kr,Sung-Ju Lee,KAIST,kr,2020,tsc
Juho Kim,KAIST,kr,JeongGil Ko,Yonsei University,kr,2020,tsc
Juho Kim,KAIST,kr,Joongyum Kim,KAIST,kr,2020,tsc
Juho Kim,KAIST,kr,Bogoan Kim,Ajou University,kr,2020,tsc
