"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Evaggelia Pitoura,University of Ioannina,gr,Paraskevas Tsantarliotis,University of Ioannina,gr,2017,snam
Evaggelia Pitoura,University of Ioannina,gr,Panayiotis Tsaparas,University of Ioannina,gr,2017,snam
Gianluca Lax,Mediterranea University of Reggio Calabria,it,Antonia Russo,Mediterranea University of Reggio Calabria,it,2021,tcss
George Karabatis,University of Maryland - College Park,us,Ahmed AlEroud,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Iyad Alazzam,Yarmouk University,jo,2020,tcss
George Karabatis,University of Maryland - College Park,us,Zainab Al Latifah,Yarmouk University,jo,2020,tcss
Sibel Adali,Rensselaer Polytechnic Institute,us,Benjamin D. Horne,Rensselaer Polytechnic Institute,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,John O'Donovan,University of California - Santa Barbara,us,2019,tsc
Sibel Adali,Rensselaer Polytechnic Institute,us,Jin-Hee Cho,Virginia Polytechnic Institute and State University,us,2019,tsc
Matthias Jarke,RWTH Aachen,us,Ralf Klamma,RWTH Aachen,us,2011,snam
Matthias Jarke,RWTH Aachen,us,Manh Cuong Pham,RWTH Aachen,us,2011,snam
Antônio Carlos da Rocha Costa,Federal University of Rio Grande,br,Helder Coelho,University of Lisbon,pt,2019,tcss
Munindar P. Singh,North Carolina State University,us,Anup K. Kalia,IBM,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Norbou Buchler,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Arwen H. DeCostanza,U.S. Army Research Laboratory,us,2017,tcss
Munindar P. Singh,North Carolina State University,us,Chaitanya Shivade,Amazon Inc.,us,2021,tcss
Munindar P. Singh,North Carolina State University,us,Karthik Sheshadri,North Carolina State University,us,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zizhong Huang,National University of Defense Technology,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Zhihong Tian,Guangzhou University,cn,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Mohsen Guizani,Qatar University,qa,2021,tcss
Yan Jia 0001,National University of Defense Technology,cn,Weihong Han,Guangzhou University,cn,2021,tcss
Haifeng Shen,Flinders University,au,Yuqing Mao,Nanjing University,cn,2016,tcss
Anupam Joshi,University of Maryland - College Park,us,Ponnurangam Kumaraguru,Indraprastha Institute of Information Technology - Delhi (IIITD),in,2016,snam
Anupam Joshi,University of Maryland - College Park,us,Paridhi Jain 0001,Indraprastha Institute of Information Technology (IIIT-Delhi),in,2016,snam
Srinath Srinivasa,International Institute of Information Technology,in,Sridhar Mandyam,International Institute of Information Technology,in,2020,tcss
Srinath Srinivasa,International Institute of Information Technology,in,Raksha Pavagada Subbanarasimha,International Institute of Information Technology,in,2020,tcss
Gerhard Weikum,Rutgers University,us,Gerard de Melo,Shandong University,cn,2019,snam
Gerhard Weikum,Rutgers University,us,Yafang Wang,Shandong University,cn,2019,snam
Vasant G. Honavar,Pennsylvania State University,us,Ngot Bui,Pennsylvania State University,us,2016,tcss
Vasant G. Honavar,Pennsylvania State University,us,John Yen,Pennsylvania State University,us,2016,tcss
Yi-Shin Chen,National Tsing Hua University,tw,Elvis Saravia,National Tsing Hua University,tw,2016,snam
Yi-Shin Chen,National Tsing Hua University,tw,Carlos Rene Argueta,National Tsing Hua University,tw,2016,snam
Yi-Shin Chen,National Tsing Hua University,tw,Yi-Cheng Peng,National Tsing Hua University,tw,2015,snam
Yi-Shin Chen,National Tsing Hua University,tw,Fernando Calderon,National Tsing Hua University,tw,2015,snam
Yi-Shin Chen,National Tsing Hua University,tw,Elvis Saravia,National Tsing Hua University,tw,2015,snam
Yi-Shin Chen,National Tsing Hua University,tw,Tzu-Lung Chen,National Tsing Hua University,tw,2015,snam
Yi-Shin Chen,National Tsing Hua University,tw,Ya-Ting Chuang,National Tsing Hua University,tw,2015,snam
Yi-Shin Chen,National Tsing Hua University,tw,Jheng-He Liang,National Tsing Hua University,tw,2015,snam
Yi-Shin Chen,National Tsing Hua University,tw,Elizabeth Kwan,National Tsing Hua University,tw,2015,snam
Yi-Shin Chen,National Tsing Hua University,tw,Chung-Hao Chang,National Tsing Hua University,tw,2015,snam
Aoying Zhou,East China Normal University,cn,Yuming Lin,Guilin University of Electronic Technology,cn,2015,snam
Aoying Zhou,East China Normal University,cn,Xiaoling Wang,East China Normal University,cn,2015,snam
Fabio Casati,University of Trento,ru,Luca Cernuzzi,Catholic University,py,2019,tsc
Fabio Casati,University of Trento,ru,Jorge Saldivar,Catholic University,py,2019,tsc
Fabio Casati,University of Trento,ru,Florian Daniel,Politecnico di Milano,it,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Djellel Eddine Difallah,York University,ca,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Gianluca Demartini,University of Queensland,us,2019,tsc
Philippe Cudré-Mauroux,University of Fribourg,ch,Alessandro Checco,University of Sheffield,uk,2019,tsc
Dejing Dou,University of Oregon,us,NhatHai Phan,University of Oregon,us,2016,snam
Klemens Böhm,Karlsruhe Institute of Technology,de,Guido Sautter,Karlsruhe Institute of Technology,de,2013,snam
Klemens Böhm,Karlsruhe Institute of Technology,de,Conny Kühne,Karlsruhe Institute of Technology,de,2015,snam
Paola Velardi,Sapienza University of Rome,it,Mauro Gatti,Sapienza University of Rome,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Giorgia Di Tommaso,Sapienza University of Rome,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Giovanni Stilo,University of L'Aquila,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Ajay Mehra,University of Kent,us,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Michela Iannotta,Sapienza University of Rome,it,2020,socnet
Paola Velardi,Sapienza University of Rome,it,Alessandro Cucchiarelli,Marche Polytechnic University,it,2012,snam
Paola Velardi,Sapienza University of Rome,it,Fulvio D'Antonio,Marche Polytechnic University,it,2012,snam
Paola Velardi,Sapienza University of Rome,it,Giovanni Stilo,University of L'Aquila,it,2015,snam
James Geller,New Jersey Institute of Technology,us,Soon Ae Chun,City University of New York,us,2015,snam
James Geller,New Jersey Institute of Technology,us,Zhi Wei,New Jersey Institute of Technology,us,2015,snam
Maria Cecília Calani Baranauskas,State University of Campinas,br,Alysson Bolognesi Prado,State University of Campinas,br,2013,snam
Mounir Frikha,University of Carthage,tn,Yehia Massoud,Stevens Institute of Technology,us,2020,tcss
Mounir Frikha,University of Carthage,tn,Hakim Ghazzai,Stevens Institute of Technology,us,2020,tcss
Mounir Frikha,University of Carthage,tn,Aymen Hamrouni,University of Carthage,tn,2020,tcss
Thierry Delot,CNRS,fr,Mikael Desertot,CNRS,fr,2013,snam
Thierry Delot,CNRS,fr,Dana Popovici,CNRS,fr,2013,snam
Thierry Delot,CNRS,fr,Sylvain Lecomte,CNRS,fr,2013,snam
Sylvain Lecomte,CNRS,fr,Mikael Desertot,CNRS,fr,2013,snam
Sylvain Lecomte,CNRS,fr,Dana Popovici,CNRS,fr,2013,snam
Sylvain Lecomte,CNRS,fr,Thierry Delot,CNRS,fr,2013,snam
Mikael Desertot,CNRS,fr,Sylvain Lecomte,CNRS,fr,2013,snam
Mikael Desertot,CNRS,fr,Dana Popovici,CNRS,fr,2013,snam
Mikael Desertot,CNRS,fr,Thierry Delot,CNRS,fr,2013,snam
Dana Popovici,CNRS,fr,Sylvain Lecomte,CNRS,fr,2013,snam
Dana Popovici,CNRS,fr,Mikael Desertot,CNRS,fr,2013,snam
Dana Popovici,CNRS,fr,Thierry Delot,CNRS,fr,2013,snam
Hamamache Kheddouci,CNRS,fr,Abdelmalek Habi,CNRS,fr,2019,snam
Hamamache Kheddouci,CNRS,fr,Brice Effantin,CNRS,fr,2019,snam
Riccardo Guidotti,University of Pisa,it,Anna Monreale,University of Pisa,it,2016,snam
Riccardo Guidotti,University of Pisa,it,Fosca Giannotti,University of Pisa,it,2016,snam
Riccardo Guidotti,University of Pisa,it,Ioanna Miliou,University of Pisa,it,2016,snam
Fosca Giannotti,University of Pisa,it,Riivo Kikas,University of Pisa,it,2016,snam
Fosca Giannotti,University of Pisa,it,Luca Pappalardo,University of Pisa,it,2016,snam
Fosca Giannotti,University of Pisa,it,Anna Monreale,University of Pisa,it,2016,snam
Fosca Giannotti,University of Pisa,it,Ioanna Miliou,University of Pisa,it,2016,snam
Fosca Giannotti,University of Pisa,it,Riccardo Guidotti,University of Pisa,it,2016,snam
Barbara Guidi,University of Pisa,it,Laura Ricci,University of Pisa,it,2019,tcss
Barbara Guidi,University of Pisa,it,Andrea De Salve,University of Palermo,it,2019,tcss
Barbara Guidi,University of Pisa,it,Laura Ricci,University of Pisa,it,2021,tcss
Barbara Guidi,University of Pisa,it,Andrea Michienzi,University of Pisa,it,2021,tcss
Laura Ricci,University of Pisa,it,Barbara Guidi,University of Pisa,it,2019,tcss
Laura Ricci,University of Pisa,it,Andrea De Salve,University of Palermo,it,2019,tcss
Laura Ricci,University of Pisa,it,Barbara Guidi,University of Pisa,it,2021,tcss
Laura Ricci,University of Pisa,it,Andrea Michienzi,University of Pisa,it,2021,tcss
Anna Monreale,University of Pisa,it,Riccardo Guidotti,University of Pisa,it,2016,snam
Anna Monreale,University of Pisa,it,Fosca Giannotti,University of Pisa,it,2016,snam
Vittorio Fuccella,University of Salerno,us,Susanna Zaccarin,University of Trieste,it,2013,socnet
Vittorio Fuccella,University of Salerno,us,Domenico De Stefano,Ca' Foscari University of Venice,it,2013,socnet
Vittorio Fuccella,University of Salerno,us,Maria Prosperina Vitale,University of Salerno,us,2013,socnet
Vijay Mago,Lakehead University,ca,Gautam Srivastava,University of Victoria,ca,2020,tcss
Vijay Mago,Lakehead University,ca,Gaurav Sharma 0009,Lakehead University,ca,2020,tcss
Vijay Mago,Lakehead University,ca,Gautam Srivastava,University of Victoria,ca,2021,tcss
Vijay Mago,Lakehead University,ca,Chetan Harichandra Mendhe,Lakehead University,ca,2021,tcss
Vijay Mago,Lakehead University,ca,Nathan Henderson,Brandon University,ca,2021,tcss
Andrea De Salve,University of Palermo,it,Barbara Guidi,University of Pisa,it,2019,tcss
Andrea De Salve,University of Palermo,it,Laura Ricci,University of Pisa,it,2019,tcss
Andrea Michienzi,University of Pisa,it,Barbara Guidi,University of Pisa,it,2021,tcss
Andrea Michienzi,University of Pisa,it,Laura Ricci,University of Pisa,it,2021,tcss
Adriano Galati,University of Leeds,uk,Chris Greenhalgh,University of Leeds,uk,2015,snam
James Miller 0001,University of Alberta,us,Jason M. Morawski,University of Alberta,us,2016,tcss
James Miller 0001,University of Alberta,us,Scott Dick,University of Alberta,us,2016,tcss
James Miller 0001,University of Alberta,us,Torin Stepan,University of Alberta,us,2016,tcss
Rajesh Sharma,University of Tartu,us,Danilo Montesi,University of Bologna,it,2016,snam
Rajesh Sharma,University of Tartu,us,Matteo Magnani,Uppsala University,se,2016,snam
Matthieu Latapy,CNRS,fr,Nathalie Del Vecchio,University Paris 2,fr,2008,socnet
Matthieu Latapy,CNRS,fr,Clémence Magnien,CNRS,fr,2008,socnet
Matthieu Latapy,CNRS,fr,Clémence Magnien,CNRS,fr,2016,snam
Matthieu Latapy,CNRS,fr,Noé Gaumont,CNRS,fr,2016,snam
Matthieu Latapy,CNRS,fr,Lionel Tabourier,University Pierre and Marie Curie,fr,2013,snam
Matthieu Latapy,CNRS,fr,Daniel Faria Bernardes,CNRS,fr,2013,snam
Matthieu Latapy,CNRS,fr,Clémence Magnien,CNRS,fr,2013,snam
Matthieu Latapy,CNRS,fr,Oussama Allali,University Pierre and Marie Curie,fr,2013,snam
Matthieu Latapy,CNRS,fr,Fabien Tarissan,CNRS,fr,2013,snam
Matthieu Latapy,CNRS,fr,Tiphaine Viard,CNRS,fr,2018,snam
Matthieu Latapy,CNRS,fr,Clémence Magnien,CNRS,fr,2018,snam
Clémence Magnien,CNRS,fr,Nathalie Del Vecchio,University Paris 2,fr,2008,socnet
Clémence Magnien,CNRS,fr,Matthieu Latapy,CNRS,fr,2008,socnet
Clémence Magnien,CNRS,fr,Matthieu Latapy,CNRS,fr,2016,snam
Clémence Magnien,CNRS,fr,Noé Gaumont,CNRS,fr,2016,snam
Clémence Magnien,CNRS,fr,Lionel Tabourier,University Pierre and Marie Curie,fr,2013,snam
Clémence Magnien,CNRS,fr,Matthieu Latapy,CNRS,fr,2013,snam
Clémence Magnien,CNRS,fr,Oussama Allali,University Pierre and Marie Curie,fr,2013,snam
Clémence Magnien,CNRS,fr,Tiphaine Viard,CNRS,fr,2018,snam
Clémence Magnien,CNRS,fr,Matthieu Latapy,CNRS,fr,2018,snam
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais,br,Marcelo S. Amaral,State University of Southwestern of Bahia,us,2020,tsc
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais,br,Lucas Santos de Oliveira,Federal University of Minas Gerais,br,2020,tsc
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais,br,José Antônio G. Pinho,Federal University of Bahia,br,2020,tsc
Adriano Veloso,Federal University of Minas Gerais,br,Fabrício Benevenuto,Federal University of Minas Gerais,br,2016,snam
Adriano Veloso,Federal University of Minas Gerais,br,Carlos Alessandro Sena de Freitas,Federal University of Minas Gerais,br,2016,snam
Adriano Veloso,Federal University of Minas Gerais,br,Saptarshi Ghosh 0001,Indian Institute of Engineering Science and Technology,in,2016,snam
Christos Faloutsos,Carnegie Mellon University,us,Eirinaios Michelakis,University of California - Berkeley,us,2011,snam
Christos Faloutsos,Carnegie Mellon University,us,Ioannis Koutis,Carnegie Mellon University,us,2011,snam
Christos Faloutsos,Carnegie Mellon University,us,Petros Drineas,Rensselaer Polytechnic Institute,us,2011,snam
Christos Faloutsos,Carnegie Mellon University,us,Charalampos E. Tsourakakis,Carnegie Mellon University,us,2011,snam
Christos Faloutsos,Carnegie Mellon University,us,Michalis Faloutsos,University of California - Riverside,us,2017,snam
Christos Faloutsos,Carnegie Mellon University,us,Danai Koutra,University of Michigan,us,2017,snam
Christos Faloutsos,Carnegie Mellon University,us,Pravallika Devineni,University of California - Riverside,us,2017,snam
Paulo Jorge Leitão Adeodato,UFPE,br,Rogério Luiz Cardoso Silva Filho,UFPE,br,2021,tcss
Paulo Jorge Leitão Adeodato,UFPE,br,Kellyton dos Santos Brito,UFRPE,br,2021,tcss
Johnnatan Messias,UFMG,br,Lucas Bastos,UFMG,br,2017,snam
Johnnatan Messias,UFMG,br,Fabrício Benevenuto,Federal University of Minas Gerais,br,2017,snam
Johnnatan Messias,UFMG,br,Matheus Araújo,UFMG,br,2017,snam
Johnnatan Messias,UFMG,br,Elias Soares,UFMG,br,2017,snam
Johnnatan Messias,UFMG,br,Manoel Miranda,UFMG,br,2017,snam
Johnnatan Messias,UFMG,br,João Paulo Diniz,UFMG,br,2017,snam
Johnnatan Messias,UFMG,br,Miller Ferreira,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Lucas Bastos,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Matheus Araújo,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Elias Soares,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Manoel Miranda,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,João Paulo Diniz,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Johnnatan Messias,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Miller Ferreira,UFMG,br,2017,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Adriano Veloso,Federal University of Minas Gerais,br,2016,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Carlos Alessandro Sena de Freitas,Federal University of Minas Gerais,br,2016,snam
Fabrício Benevenuto,Federal University of Minas Gerais,br,Saptarshi Ghosh 0001,Indian Institute of Engineering Science and Technology,in,2016,snam
João Crisóstomo Weyl Albuquerque Costa,Federal University of Pará,br,Cláudio Alex Jorge da Rocha,Federal Institute of Pará,br,2013,snam
João Crisóstomo Weyl Albuquerque Costa,Federal University of Pará,br,Aleksandra do Socorro da Silva,Federal Rural University of Amazon,br,2013,snam
João Crisóstomo Weyl Albuquerque Costa,Federal University of Pará,br,Nandamudi Lankalapalli Vijaykumar,National Institute for Space Research (INPE),br,2013,snam
João Crisóstomo Weyl Albuquerque Costa,Federal University of Pará,br,Silvana Rossy de Brito,Federal Rural University of Amazon,br,2013,snam
João Crisóstomo Weyl Albuquerque Costa,Federal University of Pará,br,Carlos Renato Lisboa Francês,Federal University of Pará,br,2013,snam
Ronaldo Menezes,Florida Institute of Technology,us,Marcos A. C. Oliveira,Florida Institute of Technology,us,2015,snam
Ronaldo Menezes,Florida Institute of Technology,us,Carmelo J. A. Bastos Filho,University of Pernambuco,br,2015,snam
Ronaldo Menezes,Florida Institute of Technology,us,Srividhya Venugopal,Florida Institute of Technology,us,2013,snam
Ronaldo Menezes,Florida Institute of Technology,us,Evan Stoner,Florida Institute of Technology,us,2013,snam
Ronaldo Menezes,Florida Institute of Technology,us,Martin Cadeiras,University of California - Los Angeles,us,2013,snam
Osmar R. Zaïane,University of Alberta,us,Afra Abnar,University of Alberta,us,2015,snam
Osmar R. Zaïane,University of Alberta,us,Mansoureh Takaffoli,University of Alberta,us,2015,snam
Osmar R. Zaïane,University of Alberta,us,Reihaneh Rabbany,University of Alberta,us,2015,snam
Osmar R. Zaïane,University of Alberta,us,Reihaneh Rabbany,University of Alberta,us,2013,snam
Osmar R. Zaïane,University of Alberta,us,Ricardo J. G. B. Campello,University of Alberta,us,2013,snam
Osmar R. Zaïane,University of Alberta,us,Mansoureh Takaffoli,University of Alberta,us,2013,snam
Osmar R. Zaïane,University of Alberta,us,Justin Fagnan,University of Alberta,us,2013,snam
Fenlin Liu,PLA Strategic Support force Information Engineering University,cn,Jiadong Guo,PLA Strategic Support force Information Engineering University,cn,2021,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Lichen Cheng,Beijing Jiaotong University,cn,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Hao Wang 0003,Norwegian University of Science and Technology,no,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Wei Wang 0012,KAUST,sa,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Jiqiang Liu,Beijing Jiaotong University,cn,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Hong-Ning Dai,Macau University of Science and Technology,cn,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Guangquan Xu,Tianjin University,cn,2019,tcss
Zonghua Zhang,Institut Mines-Tlcom,fr,Yulei Wu,University of Exeter,uk,2019,tcss
Surya Nepal,CSIRO,au,Victor S. Sheng,Texas Tech University,us,2021,tcss
Surya Nepal,CSIRO,au,Xuyun Zhang,Macquarie University,au,2021,tcss
Surya Nepal,CSIRO,au,Shancang Li,University of the West of England,uk,2021,tcss
Surya Nepal,CSIRO,au,Wenmin Lin,Hangzhou Normal University,cn,2021,tcss
Surya Nepal,CSIRO,au,Lianyong Qi,Qufu Normal University,cn,2021,tcss
Yang Xiang 0001,Deakin University,au,Mohammad Mehedi Hassan,King Saud University,sa,2015,tcss
Yang Xiang 0001,Deakin University,au,Wanlei Zhou,Deakin University,au,2015,tcss
Yang Xiang 0001,Deakin University,au,Yi Xie 0002,Sun Yat-Sen University,cn,2015,tcss
Yang Xiang 0001,Deakin University,au,Abdulhameed Alelaiwi,King Saud University,sa,2015,tcss
Yang Xiang 0001,Deakin University,au,Majed A. AlRubaian,King Saud University,sa,2015,tcss
Yang Xiang 0001,Deakin University,au,Jun Zhang 0010,Deakin University,au,2015,tcss
Yang Xiang 0001,Deakin University,au,Chao Chen 0015,Deakin University,au,2015,tcss
Wanlei Zhou,Deakin University,au,Shui Yu,University of Technology Sydney,au,2018,tcss
Wanlei Zhou,Deakin University,au,Longxiang Gao,Deakin University,au,2018,tcss
Wanlei Zhou,Deakin University,au,Sancheng Peng,Guangdong University of Foreign Studies,cn,2018,tcss
Wanlei Zhou,Deakin University,au,Youyang Qu,Deakin University,au,2018,tcss
Wanlei Zhou,Deakin University,au,Mohammad Mehedi Hassan,King Saud University,sa,2015,tcss
Wanlei Zhou,Deakin University,au,Yi Xie 0002,Sun Yat-Sen University,cn,2015,tcss
Wanlei Zhou,Deakin University,au,Abdulhameed Alelaiwi,King Saud University,sa,2015,tcss
Wanlei Zhou,Deakin University,au,Majed A. AlRubaian,King Saud University,sa,2015,tcss
Wanlei Zhou,Deakin University,au,Jun Zhang 0010,Deakin University,au,2015,tcss
Wanlei Zhou,Deakin University,au,Chao Chen 0015,Deakin University,au,2015,tcss
Wanlei Zhou,Deakin University,au,Yang Xiang 0001,Deakin University,au,2015,tcss
Wanlei Zhou,Deakin University,au,Yongli Ren,Deakin University,au,2013,snam
Wanlei Zhou,Deakin University,au,Gang Li 0009,Deakin University,au,2013,snam
Shui Yu,University of Technology Sydney,au,Keshav Sood,Deakin University,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Mohammad Reza Nosouhi,University of Technology Sydney,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Marthie Grobler,CSIRO,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Jingwen Zhang,University of Technology Sydney,au,2020,tcss
Shui Yu,University of Technology Sydney,au,Wanlei Zhou,Deakin University,au,2018,tcss
Shui Yu,University of Technology Sydney,au,Longxiang Gao,Deakin University,au,2018,tcss
Shui Yu,University of Technology Sydney,au,Sancheng Peng,Guangdong University of Foreign Studies,cn,2018,tcss
Shui Yu,University of Technology Sydney,au,Youyang Qu,Deakin University,au,2018,tcss
Shui Yu,University of Technology Sydney,au,Quanbo Zha,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Yucheng Dong,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Gang Kou,Southwestern University of Finance and Economics,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Haiming Liang,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Min Zhan,Sichuan University,cn,2019,tcss
Shui Yu,University of Technology Sydney,au,Hongwei Li 0001,Chinese Academy of Sciences,cn,2015,tcss
Shui Yu,University of Technology Sydney,au,Chunxiang Xu,UESTC,cn,2015,tcss
Shui Yu,University of Technology Sydney,au,Yuan Zhang 0006,UESTC,cn,2015,tcss
Shui Yu,University of Technology Sydney,au,Chenwang Zheng,Beijing Jiaotong University,cn,2021,tcss
Shui Yu,University of Technology Sydney,au,Dan Tao,Beijing Jiaotong University,cn,2021,tcss
Shui Yu,University of Technology Sydney,au,Chenhan Zhang,University of Technology Sydney,au,2021,tcss
Shui Yu,University of Technology Sydney,au,Xiaozhuang Song,Southern University of Science and Technology,cn,2021,tcss
Shui Yu,University of Technology Sydney,au,Qingpeng Zhang,City University of Hong Kong,hk,2021,tcss
Shui Yu,University of Technology Sydney,au,James J. Q. Yu,Southern University of Science and Technology,cn,2021,tcss
Shui Yu,University of Technology Sydney,au,Wenjie Ruan,University of Exeter,uk,2021,tcss
Xuan Han,Qingdao Academy of Intelligent Industries,cn,Yong Yuan,Renmin University of China,cn,2019,tcss
Xuan Han,Qingdao Academy of Intelligent Industries,cn,Fei-Yue Wang 0001,Chinese Academy of Sciences,cn,2019,tcss
Christoph Meinel,Hasso-Plattner-Institut,de,Matthias Kohnen,Hasso-Plattner-Institut,de,2012,snam
Christoph Meinel,Hasso-Plattner-Institut,de,Justus Bross,Hasso-Plattner-Institut,de,2012,snam
Christoph Meinel,Hasso-Plattner-Institut,de,Keven Richly,Hasso-Plattner-Institut,de,2012,snam
Shuiqiao Yang,University of Technology Sydney,au,Shoaib Jameel,University of Essex,uk,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Guandong Xu,University of Technology Sydney,au,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Hamad Zogan,University of Technology Sydney,au,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Jianlong Zhou,University of Technology Sydney,au,2021,tcss
Shuiqiao Yang,University of Technology Sydney,au,Fang Chen 0001,University of Technology Sydney,au,2021,tcss
Vladimir A. Oleshchuk,University of Agder,no,Chenniappan Chellappan,Anna University,in,2016,snam
Vladimir A. Oleshchuk,University of Agder,no,Sourabh Prakash,Indian Institute of Information Technology,in,2016,snam
Vladimir A. Oleshchuk,University of Agder,no,S. Venkatesan 0002,Indian Institute of Information Technology,in,2016,snam
Huiling Zhang,University of Florida,us,My T. Thai,Ton Duc Thang University,vn,2018,tcss
Huiling Zhang,University of Florida,us,Xiang Li 0016,Santa Clara University,us,2018,tcss
Huiling Zhang,University of Florida,us,Alan Kuhnle,University of Florida,us,2018,tcss
Huiling Zhang,University of Florida,us,Md Abdul Alim,University of Florida,us,2018,tcss
Wenyi Tang,UESTC,cn,Guangchun Luo,UESTC,cn,2019,tcss
Wenyi Tang,UESTC,cn,Ling Tian,UESTC,cn,2019,tcss
Wenyi Tang,UESTC,cn,Zhipeng Cai 0001,Georgia State University,us,2019,tcss
Wenyi Tang,UESTC,cn,Yubao Wu,Georgia State University,us,2019,tcss
Weijia Jia 0001,University of Macau,cn,Jiafu Jiang,Changsha University of Science and Technology,cn,2020,tcss
Weijia Jia 0001,University of Macau,cn,Linyu Tang,Changsha University of Science and Technology,cn,2020,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Lichen Cheng,Beijing Jiaotong University,cn,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Hao Wang 0003,Norwegian University of Science and Technology,no,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Wei Wang 0012,KAUST,sa,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Zonghua Zhang,Institut Mines-Tlcom,fr,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Hong-Ning Dai,Macau University of Science and Technology,cn,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Guangquan Xu,Tianjin University,cn,2019,tcss
Jiqiang Liu,Beijing Jiaotong University,cn,Yulei Wu,University of Exeter,uk,2019,tcss
Jianfeng Ma 0001,Xidian University,cn,Hui Li 0005,Xidian University,cn,2021,tcss
Jianfeng Ma 0001,Xidian University,cn,Philip S. Yu,University of Illinois at Chicago,us,2021,tcss
Jianfeng Ma 0001,Xidian University,cn,Zhongyuan Jiang,Xidian University,cn,2021,tcss
Jianfeng Ma 0001,Xidian University,cn,Xianyu Chen,Xidian University,cn,2021,tcss
Xinglin Zhang,South China University of Technology,cn,Le Jiang,South China University of Technology,cn,2019,tcss
Hyoungshick Kim,Sungkyunkwan University,kr,Eiko Yoneki,University of Cambridge,us,2013,snam
Andrew Yates,Johns Hopkins University,us,Nazli Goharian,Georgetown University,us,2015,snam
Andrew Yates,Johns Hopkins University,us,Ophir Frieder,Georgetown University,us,2015,snam
Andrew Yates,Johns Hopkins University,us,Jon Parker,Georgetown University,us,2015,snam
Nazli Goharian,Georgetown University,us,Andrew Yates,Johns Hopkins University,us,2015,snam
Nazli Goharian,Georgetown University,us,Ophir Frieder,Georgetown University,us,2015,snam
Nazli Goharian,Georgetown University,us,Jon Parker,Georgetown University,us,2015,snam
Danilo Montesi,University of Bologna,it,Felix Freitag,Polytechnic University of Catalonia,us,2016,snam
Danilo Montesi,University of Bologna,it,Roc Meseguer,Polytechnic University of Catalonia,us,2016,snam
Danilo Montesi,University of Bologna,it,Rajesh Sharma,University of Tartu,us,2016,snam
Danilo Montesi,University of Bologna,it,Matteo Magnani,Uppsala University,se,2016,snam
