name,affiliation
Shuangshuang Han,"Vehicle Intelligence Pioneers Inc., Qingdao, China"
Juha Savolainen,"Software and Control Research and Development, Danfoss Drives A/S, 6300, Gråsten, Denmark"
Xianlong Zhao,"Beijing Smartchip Microelectronics Company Limited, Beijing, China"
Zhian Yang,"National Center for Science and Technology Evaluation, Beijing, China"
Shinji Hatta,"MUSCAT Space Engineering Company Ltd., Munakata, Japan"
Chadi Abdallah,"National Center for Remote Sensing, National Council for Scientific Research, Beirut, Lebanon"
Sara Najem,"National Center for Remote Sensing, National Council for Scientific Research, Beirut, Lebanon"
Bernadette O'Brien,"Animal and Grassland Research and Innovation Centre, Teagasc, Cork, Ireland"
Donagh Berry,"Animal and Grassland Research and Innovation Centre, Teagasc, Cork, Ireland"
Yuchen Weng,"Beijing Engineering Research Center, Intelligent Systems and Technology, Beijing, China"
Xiujuan Wang,"Beijing Engineering Research Center, Intelligent Systems and Technology, Beijing, China"
Qiang Li,"The Research Center for Science and Technology Innovation, Beijing, China"
Lirong Xia,"Shanghai Psytech Electronic Technology Co., Ltd., Shanghai, China"
Vidarshana W. Bandara,"JDA Software Group, Inc., Irving, TX, USA"
Shenglan Ma,"Division of Science and Technology, Fujian Rural Credit Union, Fujian, China"
Rui Wang 0038,"Beijing Engineering Research Center for Cyberspace Data Analysis and Applications, Beijing, China"
Huansheng Ning,"Beijing Engineering Research Center for Cyberspace Data Analysis and Applications, Beijing, China"
Fei-Yue Wang 0001,"State Key Laboratory for Management and Control of Complex Systems, Beijing, China"
Rodrigo Nicolau Almeida,"Centre for Socioeconomic and Territorial Studies (DINAMIA-CET)/ISCTE-IUL, Lisbon, Portugal"
Nuno David,"Centre for Socioeconomic and Territorial Studies (DINAMIA-CET)/ISCTE-IUL, Lisbon, Portugal"
Ramesh Ramadoss,"IEEE P2418 Blockchain WG Chair, USA"
Joleen Liang,"Squirrel AI Learning, Shanghai, China"
Kripabandhu Ghosh,"TCS Research, Pune, India"
Yunwen Chen,"DataGrand Inc., Shanghai, China"
Pablo Monares,"Computational Biology Laboratory, Fundación Ciencia & Vida, Santiago, Chile"
Rodrigo Santibañez,"Computational Biology Laboratory, Fundación Ciencia & Vida, Santiago, Chile"
Alejandro Bernardin,"Computational Biology Laboratory, Fundación Ciencia & Vida, Santiago, Chile"
Ignacio Fuenzalida,"Computational Biology Laboratory, Fundación Ciencia & Vida, Santiago, Chile"
Yimu Guo,"Tencent Inc., Shenzhen, China"
Pavan Kaparthi,"Wolters Kluwer Health, Waltham, USA"
Pramod Kumar Srivastava,"Rajkiya Engineering College at Azamgarh, Azamgarh, India"
Ankit Rai,"Infosys, Mysuru, India"
Kanu Garg,"Infosys, Pune, India"
Yashvardhan Singh Rautela,"Cognizant, Chennai, India"
Naiyu Tan,"China Mobile Online Service Company Ltd., Zhengzhou, China"
Chao Xue,"China Mobile Online Service Company Ltd., Zhengzhou, China"
Lutao Zheng,"CaiTong Security Company Ltd., Hangzhou, China"
Yuji Masuda,"System Development, Information System Group, Card Solution Company, Yamato System Development Company Ltd, Kawasaki, Japan"
Takanobu Mizuta,"Investment and Research Division, SPARX Asset Management Company Ltd, Minato, Japan"
Ke Zeng 0001,"AI-Center, Meituan.com, Beijing, China"
Daveed Gartenstein-Ross,"Valens Global Inc., Arlington, VA, USA"
Minghao Zhao 0002,"Fuxi AI Laboratory, NetEase, Inc., Hangzhou, China"
Xia Liang,"CISDI Chongqing Information Technology Co. Ltd., Chongqing, China"
Jianrong Tao,"Fuxi AI Lab, NetEase Inc., Hangzhou, China"
Changjie Fan,"Fuxi AI Lab, NetEase Inc., Hangzhou, China"
R. Reid Bishop,"The Coca-Cola Company, Atlanta, GA, USA"
Alexander V. Outkin,"Sandia National Laboratories, Albuquerque, NM, USA"
Brandon K. Eames,"Sandia National Laboratories, Albuquerque, NM, USA"
Christine M. Edwards,"Lockheed Martin Corporation, Littleton, CO, USA"
Ke Tan,"State Key Laboratory of Nuclear Power Safety Monitoring Technology and Equipment, Shenzhen, China"
Xin Liu,"State Key Laboratory of Nuclear Power Safety Monitoring Technology and Equipment, Shenzhen, China"
Jiazhen Lin,"State Key Laboratory of Nuclear Power Safety Monitoring Technology and Equipment, Shenzhen, China"
Sheraz Ahmed,"Smart Data & Knowledge Services, German Research Center for Artificial Intelligence, Kaiserslautern, Germany"
Neeli Prasad,"Security and Wireless Technology, SmartAvatar B.V., Beijing, China"
Yongsheng Wu,"Shenzhen Center for Disease Control and Prevention, Shenzhen, China"
Xiaofeng Jia,"Beijing Big Data Centre, Beijing, China"
Hongwei Qi,"Datatang (Beijing) Technology Company Ltd., Beijing, China"
